track_name,artist_name,classification,album_name,streams,track_name-1,popularity,acousticness,danceability,energy,instrumentalness,liveness,normalized_loudness,speechiness,normalized_tempo,valence
Silipin Ang Mundo,Cloud 7,boygroup,Silipin Ang Mundo,237397,Silipin Ang Mundo,32,0.4962,0.6302,0.8193,0,0.1233,0.662831667,0.0828,0.961543560,0.7859
SIX7EEN,HORI7ON,boygroup,Friend-SHIP,2420061,SIX7EEN,36,0.0665,0.671,0.9563,0,0.1864,1,0.1255,0.403035907,0.6002
SSP (Saksak Sa Puso),VXON,boygroup,20:20,2114019,SSP (Saksak Sa Puso),43,0.036,0.6818,0.8693,0,0.1699,0.705533574,0.1008,0.406486956,0.5524
SUMAYAW SUMUNOD - English Version,HORI7ON,boygroup,DAYTOUR 2,121194,SUMAYAW SUMUNOD - English Version,36,0.1418,0.6918,0.849,0,0.1624,0.768463301,0.061,0.354262775,0.7178
SUMAYAW SUMUNOD - Tagalog Version,HORI7ON,boygroup,DAYTOUR 2,452373,SUMAYAW SUMUNOD - Tagalog Version,38,0.1447,0.7067,0.8464,0,0.1547,0.781530427,0.0646,0.350400781,0.7182
SUMAYAW SUMUNOD,HORI7ON,boygroup,DAYTOUR 2,680333,SUMAYAW SUMUNOD,40,0.1223,0.7053,0.8368,0,0.15,0.742374659,0.0502,0.286047113,0.737
Summotion,PLUUS,boygroup,Summotion,130992,Summotion,33,0.0964,0.681,0.8477,0.0076,0.153,0.710447999,0.0848,0.348808924,0.5391
TABI TABI,VXON,boygroup,TABI TABI,152765,TABI TABI,39,0.0311,0.6307,0.885,0,0.1509,0.681588579,0.0485,0.396263057,0.7343
TANGA,KAIA,girlgroup,TANGA,1357518,TANGA,56,0.3829,0.6269,0.5983,0.0351,0.148,0.251627690,0.0708,0.339171616,0.3269
Tara Na,Cloud 7,boygroup,Tara Na,1179237,Tara Na,36,0.0615,0.521,0.7191,0.0085,0.1537,0.424829820,0.0638,0.142364609,0.3412
Tayo Na,Cloud 7,boygroup,Tayo Na,719440,Tayo Na,34,0.0524,0.5561,0.8454,0,0.1864,0.629434100,0.0889,0.724621975,0.5348
Time,SB19,boygroup,Simula at Wakas,10295683,Time,74,0.5399,0.6105,0.4071,0,0.1214,0.245344979,0.146,0.418771100,0.306
Torpe,AJAA,boygroup,4 Ü,1260050,Torpe,40,0.0964,0.6637,0.8135,0.0023,0.147,0.688464214,0.1223,0.530985427,0.5348
Ugnayan,Calista,girlgroup,Ugnayan,202836,Ugnayan,25,0.0927,0.6883,0.7831,0,0.1192,0.776593197,0.0611,0.549634790,0.6435
Universe (PLUUS),PLUUS,boygroup,Universe,219017,Universe (PLUUS),35,0.2372,0.6877,0.7561,0.0011,0.1612,0.549172757,0.0668,0.365930502,0.6673
Universe (YGIG),YGIG,girlgroup,Universe,182971,Universe (YGIG),28,0.2478,0.7508,0.7907,0,0.1682,0.574486038,0.0569,0.214293131,0.6938
Wala Ng Iba,1st.One,boygroup,Wala Ng Iba,177304,Wala Ng Iba,30,0.1269,0.6835,0.8605,0,0.1534,0.605340874,0.0478,0.315503650,0.8241
Walang Biruan,KAIA,girlgroup,Walang Biruan,501160,Walang Biruan,40,0.6039,0.6929,0.5682,0,0.1354,0.265173715,0.0843,0.523632616,0.5199
Walkie Talkie,KAIA,girlgroup,Walkie Talkie,66858,Walkie Talkie,42,0.2919,0.7261,0.5651,0.0058,0.1367,0.196645420,0.1712,0.239072415,0.436
